id,课程名,封面地址,课程时长,课程价格,课程简介,讲师,地址
11,大前端,https://class.imooc.com/sale/webfullstack,28周,￥2790.00,升级Vue3.0正式版，高级前端工程师成长路径，带你告别迷茫一套真正的思维+技术能力提升课程不做技术的简单堆砌，个月实现能力跨越式进阶,null,null
12,移动端架构师,https://class.imooc.com/sale/mobilearchitect,30周,￥4888.00,亲历日活千万级APP全流程开发掌握大小厂通杀的架构技术，快速突破个人职业瓶颈成为技术强+思维深+视野广 的P7级移动端架构师,null,null
13,大数据开发工程师,https://class.imooc.com/sale/bigdata,20周,￥3499.00,以就业为目标的应用型大数据开发体系课，带你从入门直达中级工程师岗位要求具备Java及数据库基础即可学习，为你架好大数据工程师的进阶阶梯Java/Scala双语言教学，电商、直播、中台多个热点商用项目实战,null,null
14,推荐算法理论与实践,https://www.imooc.com/learn/990, 1小时55分,免费,简介：当今推荐系统的应用可以说是十分广泛了，它已经应用到了生活当中的方方面面，比如新闻推荐、音乐推荐、电影推荐、朋友推荐等等，一个性能高效的推荐系统更是帮助商品更好销售的关键。本课分为两部分，前半部分介绍各种常见的推荐系统以及基本概念，后半部分将用基于矩阵分解的协同过滤实现一个电影推荐系统。,陈家栋,https://www.imooc.com/video/17114
15,算法与数据结构体系课,https://class.imooc.com/sale/datastructure,16周,￥999.00,慕课网算法名师Liuyubobobo，5年集大成之作满足你从开始学编程到工作5年内的几乎所有算法学习需求,null,null
16,人人都能学会数据分析,https://class.imooc.com/sale/dataanalysis,16周,￥1680.00,为运营、产品、市场打造的”专业“课程为程序员转型产品经理打造的“破圈”课程从0到1，从工具到思维，系统掌握业务实操型数据分析知识体系,null,null
17,Mybatis缓存详解,https://www.imooc.com/learn/1238, 3小时 3分,免费,简介：基于mybatis3.5.1版本，全面介绍mybatis一级缓存、二级缓存以及自定义缓存的使用方法、实现原理、应用场景、优缺点等，并进行现场验证,西昆仑,https://www.imooc.com/video/21489
18,手把手从0打造电商网页开发,https://www.imooc.com/learn/1236, 6小时40分,免费,简介：本课程主要介绍电商网站基本制作流程，通过电商网站分步的教学让大家了解和掌握电商网站制作的流程和注意事项。并且运用网站内学习过的知识点，更加快速的掌握整站的开发过程，增加开发经验。,天天加班的程序员,https://www.imooc.com/video/21449
19,Java全栈工程师,https://class.imooc.com/sale/javafullstack,30周,￥3380.00,7七月亲授，Web领域市场呼声最高的主流技术栈逐一精讲技术与业务深度融合，电商项目前后端开发的教科书级别案例赋能Java从业者拥有更强的职场适应力和工作竞争力,null,null
20,Python办公自动化,https://www.imooc.com/learn/1239, 3小时44分,免费,简介：本课程基于python强大的模块系统，高效的完成了办公自动化操作，实现了Excel自动化，Word自动化，PPT自动化在实际场景中的应用。,离岛,https://www.imooc.com/video/21500
21,Android工程师,https://class.imooc.com/sale/newandroid,3个阶段94门课,,"移动端市场份额第一，物联网时代落地载体
    Java/Kotlin双语言教学，同时拿下两种编程语言",null,null
22,深入浅出剖析Python的全局解释锁GIL,https://www.imooc.com/learn/1240, 3小时 0分,免费,简介：从历史发展的角度来解释GIL的来龙去脉，GIL的本质，GIL的优点，缺点，如何突破GIL的限制及将来发展的趋势，全篇浅显易懂说原理，实实在在的代码验证原理，最后还用C语言重写了Python线程模型来突破GIL的限制。,quickzhao,https://www.imooc.com/video/21535
23,当React遇上TypeScript开发Antd组件,https://www.imooc.com/learn/1234, 2小时55分,免费,简介：本课程介绍了TypeScript的配置、泛型；ReactDom中的api；antd中的feedback、classname基础组件等等相关知识，最后我们用这些知识实现了antd组件库中的Alert、Operation、Prompt三种弹框。,withy老师,https://www.imooc.com/video/21447
24,模式的秘密---代理模式,https://www.imooc.com/learn/214, 2小时 0分,免费,简介：代理模式是一种非常重要的设计模式，在Java语言中有着广泛的应用，包括SpringAOP的核心设计思想，都和代理模式有密切关系。什么场景使用代理模式？代理模式实现原理是什么？本节课程将带你领略代理模式的奥妙。,David,https://www.imooc.com/video/4877
25,模式的秘密——工厂模式,https://www.imooc.com/learn/261, 1小时 0分,免费,简介：工厂模式和抽象工厂模式是在日常开发中使用非常广泛的设计模式。主要用于实现将对象的实例化部分取出来，进而优化系统架构，增强系统的扩展性。本课程即将讲解Java中的工厂模式和抽象工厂模式的应用。,卜奇,https://www.imooc.com/video/5316
26,Java眼中的XML  文件写入,https://www.imooc.com/learn/251, 2小时 0分,免费,简介：XML在数据传输及存储等方面非常流行，所以使用JAVA程序来生成相应用途的XML文件就变得非常重要，那么问题来了：如何使用JAVA程序生成一个XML文档呢？本节课将详细为你解答！,JessicaJiang,https://www.imooc.com/video/5254
27,十天精通CSS3,https://www.imooc.com/learn/33, 5小时 0分,免费,简介：本课程为CSS3教程，对于有一定CSS2经验的伙伴，能让您系统的学习CSS3，快速的理解掌握并应用于工作之中。在学习教程的过程中实例演示结合在线编程完成任务的方式来学习，相信自己动手会让你理解的更快，本教程能够让您学习效果更好！,大漠,https://www.imooc.com/code/378
28,JDBC之 “ 对岸的女孩看过来”,https://www.imooc.com/learn/157, 2小时 2分,免费,简介：JDBC技术是Java开发必备的知识，并且是学习Hibernate和Mybatis的基础，本视频通过实例贯穿的方式，给大家一点一点的剖析JDBC技术，使大家由浅入深的了解JDBC技术的全貌，什么是JDBC，怎么使用JDBC，为进一步学习集成框架打下良好的基础。,Preacher,https://www.imooc.com/video/4387
29,shell编程之环境变量配置文件,https://www.imooc.com/learn/361,57分,免费,简介：本课程是《Tony老师聊shell》系列课程的第三篇，为你带来常用的Linux环境变量配置文件的使用。对环境变量配置文件的功能进行了详解，然后又介绍了其他环境变量配置文件，包括注销时生效的环境变量配置文件、历史命令相关的环境变量配置文件、shell登录信息配置文件等。,Tony,https://www.imooc.com/video/7002
30,数学知识在CSS动画中的应用,https://www.imooc.com/learn/362,16分,免费,简介：在数学理论的基础上，与CSS动画技巧完美结合，实现令你耳目一新的径向菜单展开效果，以及优雅实用的时钟效果。,奇舞团,https://www.imooc.com/video/7154
31,Sass和Compass必备技能之Sass篇,https://www.imooc.com/learn/364, 1小时34分,免费,简介：CSS至今已经发展了将近20个年头，暮气沉沉，廉颇老矣？通过本课程我们将切实了解Sass与Compass是如何让CSS重焕青春的。由浅入深，从Sass的语法说起，最后衍伸至Compass框架的应用，通过这两个工具来帮助您写出更优秀的CSS。,Materliu,https://www.imooc.com/video/7059
32,大话PHP设计模式,https://www.imooc.com/learn/236, 3小时30分,免费,简介：通过实际的代码演示PHP的11种面向对象设计模式实现和使用，帮助PHPer具备使用设计模式解决工程中复杂逻辑的能力，并且对OOP中松耦合、依赖倒置、可替换性、配置化等哲学有一定了解。,Rango,https://www.imooc.com/video/4840
33,css3实现网页平滑过渡效果,https://www.imooc.com/learn/252, 2小时 5分,免费,简介：不用任何JavaScript脚本，使用纯CSS实现页面之间的平滑过渡，体验transform、transition、animation带来的神奇体验。,Amy,https://www.imooc.com/video/7142
34,全屏切换效果,https://www.imooc.com/learn/374, 1小时45分,免费,简介：现在很流行全屏切换动画效果，无论是在PC端还是移动端，例如产品展示、专题等场景都非常适用。那么就让我们一起来了解下是如何实现的吧！,奇舞团,https://www.imooc.com/video/7283
35,初识Java微信公众号开发,https://www.imooc.com/learn/368, 1小时36分,免费,简介：微信拥有庞大的用户基础，微信公众号的相关开发也比较热门，本套课程就带领大家进入Java微信公众号开发的精彩世界，学习微信公众号开发的相关概念，编辑模式和开发模式应用，以及百度BAE的使用。,biJava,https://www.imooc.com/video/7231
36,Spring Cloud+Vertx+Disruptor,https://coding.imooc.com/class/437.html,20小时,￥388.00,SpringCloud+Vertx+Disruptor金融业撮合交易系统实战,null,null
37,深度解锁SpringCloud主流组件,https://coding.imooc.com/class/396.html,23小时30分钟,￥366.00,深度解锁SpringCloud主流组件一战解决微服务诸多难题,null,null
38,Sass和Compass必备技能之Compass,https://www.imooc.com/learn/371, 2小时42分,免费,简介：本课程着眼于介绍Compass扩展工具，通过这个工具来帮助你写出更优秀的CSS。重点聚焦于Compass框架的应用，承接上一门课程《Sass与Compass必备技能之Sass》。课程结束后你会发现之前令你无比头疼的CSS痛点问题都被迎刃而解了。,Materliu,https://www.imooc.com/video/7259
39,解密JAVA实现Excel导入导出,https://www.imooc.com/learn/354, 2小时53分,免费,简介：现实Javaweb开发过程当中经常会遇到文件导入、导出、导入模板下载的场景。如何实现轻松、快捷的定制导入模板、导入导出文件功能呢？本节课程由简入深，逐步分析、实现文件导入导出功能。,David,https://www.imooc.com/video/6827
40,Oracle数据库开发必备利器之PL/SQL基础,https://www.imooc.com/learn/360, 3小时22分,免费,简介：PL/SQL是Oracle数据库对SQL语句的扩展，是存储过程和自定义函数的高级内容学习的必备基础。本门课程为大家带来PL/SQL的基本语法、光标和例外的概念，并通过案例演示了PL/SQL开发的过程。,赵强老师,https://www.imooc.com/video/6978
41,鼠标拖拽效果,https://www.imooc.com/learn/60,34分,免费,简介：用鼠标拖拽弹出窗口是我们每天用到最多的功能之一。本案例以百度网站的登录窗口为例，讲解鼠标拖拽效果如何实现，拖拽范围限定以及登陆窗口自动居中。通过本案例，你将学会如何制作弹出窗口特效，了解把元素设置为可拖拽的原理。,Lyn,https://www.imooc.com/video/822
42,CSS3+JS 实现超炫的散列画廊特效,https://www.imooc.com/learn/366, 2小时22分,免费,简介：在网页中传统的照片查看一直是网格-列表，现在我们可以突破这种限制，获得和现实中一样的自由。随意摆放的照片，超酷的切换动画；还能翻开照片，查看图片简介。本课程主要有两个部分；前半部分以原理分析和前端界面实现为主，后半部分则是脚本来处理的一些特效与总结。,Lyn,https://www.imooc.com/video/7195
43,侧边栏信息展示效果,https://www.imooc.com/learn/74, 1小时34分,免费,简介：学会实现侧边栏内容效果展示，能够让你迅速进阶。三个步骤:通过HTML、CSS实现侧边栏内容布局；实现JavaScript代码效果，使用面向对象的方式；在JavaScript代码预留位置，添加动画效果。学会这些，跻身大网站程序员行列，身价倍增，赶快学习！,GreenBoots,https://www.imooc.com/video/978
44,Fiddler工具使用,https://www.imooc.com/learn/37, 1小时 0分,免费,简介：Fiddler是非常最犀利的web调试工具，本课程全面讲解了Fiddler工具的使用，包括工作原理、使用场景、操作界面、常用功能以及相关插件的使用，讲解详细，内容紧扣实际工作，实战性极强。,远人,https://www.imooc.com/video/388
45,Objective-C面向对象初体验,https://www.imooc.com/learn/373, 1小时59分,免费,简介：本课程将带大家学习Objective-C中的面向对象编程，其中会涉及到OC语言中的类，对象，属性以及一些方法和类的函数的应用，为后面的课程打下一个良好的基础,Visitor.zc,https://www.imooc.com/video/7293
46,用JS实现放大镜特效,https://www.imooc.com/learn/32,31分,免费,简介：本课程让我们了解了电商放大镜特效的整个实现过程，本案例将向您讲解如何分析和解决问题的思路，详细介绍了JavaScript相关的知识点，多浏览器调试等技能。,姜维,https://www.imooc.com/video/414
47,人人网评论功能,https://www.imooc.com/learn/81, 1小时23分,免费,简介：社交化媒体盛行时代，大家经常会使用评论、回复、点赞等各种功能，这些功能是如何实现的？本课程通过分析评论功能的逻辑关系，讲解如何使用JavaScript语言实现人人网的评论功能。赶快来学习网络评论功能的实现吧！,阿安,https://www.imooc.com/video/1124
48,手风琴效果,https://www.imooc.com/learn/72,35分,免费,简介：知道什么是手风琴效果吗？当鼠标滑过一排列表时，鼠标悬停的列表项会发生明暗度的变化，同时图片会放大显示。本课程通过讲解浮动布局、遮罩层、CSS3的transition属性、鼠标事件等知识点，教你实现鼠标悬停时图片明暗度变化、图片伸缩以及图片切换时速度的平滑过渡等效果等,mark,https://www.imooc.com/video/948
49,QQ空间时光轴特效,https://www.imooc.com/learn/114, 1小时40分,免费,简介：QQ空间时光轴特效信息展示简洁，交互性好。本课程首先分析特效的界面代码结构：时序菜单和日志列表，还将引入一个重要的知识点：前端模板，并从界面中抽出模板备用。特效部分将会重点分享跳转特效、高亮特效以及滚动页面自动展开时序标签。,Lyn,https://www.imooc.com/video/1643
50,HTML5离线应用实战演练,https://www.imooc.com/learn/46, 1小时30分,免费,"简介：本次课程将探索FTWebApp背后的神秘面纱，并且手把手教您如何利用AppCache，localStorage等HTML5技术打造一个真正提供离线阅读体验的RSS阅读器,你将掌握如何搭建一个离线的WebApp的框架。",Murphy,https://www.imooc.com/video/632
51,“Doge”变化术,https://www.imooc.com/learn/128,10分,免费,简介：本课程通过使用Photoshop来演示如何制作各种有趣的“Doge图”。如果这只萌狗也hit到了你的萌点，那么快点动手和老师一起制作有趣的图片和小伙们们互动吧！,Oeasy,https://www.imooc.com/video/1899
52,Java入门第一季（IDEA工具）升级版,https://www.imooc.com/learn/85, 5小时 0分,免费,简介：升级版来了~~本课程从最基本的概念开始讲起，步步深入，带领大家尝鲜Java。从第一个Java程序开始讲起，通过一步步动手实践，最终完成一个简单又实用的案例，不仅用上之前的所有知识，还可以应用在未来的学习生活中。,IMOOC老齐,https://www.imooc.com/video/22198
53,数据库设计那些事,https://www.imooc.com/learn/117, 1小时50分,免费,简介：数据库作为大多数应用的存储组件，对程序猿所开发的程序是否可以稳定高效的运行起着至关重要的作用。本课程从数据库设计的基本理论入手结合简单的实例，简单明了的告诉您如何设计出一个简洁明了同时又高效稳定的数据库结构。,sqlercn,https://www.imooc.com/video/1903
54,PHP实现验证码制作,https://www.imooc.com/learn/115, 1小时20分,免费,简介：通过分析验证码实现原理，以基础的文字+字母验证码，分析讲解实现方法。并举一反三的讲解如何实现中文、图片、视频验证码。其中会穿插讲解实现过程中可能出现的技术难点、隐患。,Pangee,https://www.imooc.com/video/1678
55,Java图片验证码,https://www.imooc.com/learn/585, 1小时 5分,免费,简介：小伙伴们，最近是不是在被图片验证码折磨呀，想不想知道这磨人的验证码是如何实现的呀。本门课程将使用SpringMVC和Spring框架，为小伙伴们带来图片验证码的制作和验证过程。,moocer,https://www.imooc.com/video/11034
56,HTML5+CSS3实现春节贺卡,https://www.imooc.com/learn/597, 1小时51分,免费,简介：以春节为主题，通过一个简单的春节手机端祝贺页面的实例演示，并通过对案例进行拆分和讲解，让您对手机端简易网站从零建站有一个简单的认识，并让您可以独立开发简单的手机端小型展示网页。,爱米,https://www.imooc.com/video/11036
57,新春特辑-Cocos抢红包,https://www.imooc.com/learn/593,56分,免费,简介：过年啦~~雷哥给大家发福利了~~~不过福利不是妹子而是一项技能：本门课程为一门实例课，同学们可以在课程中体验到动画与动作的基本使用，可作为Cocos第二课到第三课的过渡。,雷过就跑,https://www.imooc.com/video/11071
58,JDBC之“对岸的女孩走过来”,https://www.imooc.com/learn/421, 1小时13分,免费,简介：本课程是《JDBC之“对岸的女孩看过来”》的延续，主要介绍在实际开发过程中用到的分页、聚合、分组，以及事务管理等常用知识，通过该课程的学习，将会打通你的任督二脉，以后不管是学习框架，还是数据库研发，都是很好的起点和指引。,Preacher,https://www.imooc.com/video/8125
59,CSS深入理解之relative,https://www.imooc.com/learn/565,27分,免费,简介：relative和absolute的关系总让我们头疼。张鑫旭大大将在本次课程中给大家生动且深入的剖析二者的关系，以及relative与z-index层级的关系，同时给大家分享一些好的relative实践准则。小伙伴们还等什么？,张鑫旭,https://www.imooc.com/video/10710
60,Canvas玩儿转红包照片,https://www.imooc.com/learn/601, 1小时17分,免费,简介：通过实现最新的腾讯微信红包中图像模糊，图像展示等效果，深入了解canvas的潜能，将canvas的功能更好的结合到自己的产品中。同时完成一个炫丽的，能同时运行在多端的移动webapp。,liuyubobobo,https://www.imooc.com/video/11085
61,oeasy教你玩转css禅意花园,https://www.imooc.com/learn/603,27小时 0分,免费,简介：本课程使用css设计领域最经典的例子禅意花园来学习css实战，36个设计让您彻底了解css的方方面面。从设计入手到精通界面，是成为优秀网页设计师的快速路径。,Oeasy,https://www.imooc.com/video/11120
62,AIDL-小白成长记,https://www.imooc.com/learn/606, 1小时45分,免费,简介：AIDL是Android开发中比较常见的技术，想成为一名合格的Android攻城狮，看本次课程就对了！本节课将带领同学们快速入门AIDL相关技术，从基本语法，到案例解析。打造一键式学习过程！,Andrew...,https://www.imooc.com/video/11189
63,PHP实现手机归属地查询,https://www.imooc.com/learn/604, 1小时10分,免费,简介：如今各种WEB应用层出不穷，作为一名程序员，怎能没有一技防身？本课会带大家从0开始开发一个完整的WEB应用，从框架结构到流程分析再到数据缓存，相信你学习完本课之后收获到的不仅仅是学会了开发一个应用。,帅进超,https://www.imooc.com/video/11173
64,jQuery基础 (一)—样式篇,https://www.imooc.com/learn/418, 2小时23分,免费,简介：jQuery基础课程总共分为4个部分，分别是样式篇、事件篇、动画篇、DOM篇。此为第一个部分—样式篇，本课程主要介绍jQuery的基础语法，选择器以及jQuery的一些属性和样式，通过本课程的学习，我们可以用最少的代码做更多的事，让我们一起出发学习吧！,Aaron艾伦,https://www.imooc.com/video/11224
65,用C#实现封装,https://www.imooc.com/learn/554, 2小时25分,免费,简介：在本次课程中，@绿豆开门从类和对象的概念入手，围绕面向对象的三大技术之一——封装进行讲解。将带领大家学习属性封装的技术，深入理解方法的声明和应用，帮助大家使用C#语言的语法和面向对象的编程思想解决实际问题。,绿豆开门,https://www.imooc.com/video/10580
66,Java高并发秒杀API之高并发优化,https://www.imooc.com/learn/632, 1小时45分,免费,简介：本门课程是《Java实现高并发秒杀API》系列课程的第四门课，主要介绍秒杀的高并发优化，老师首先带大家分析了秒杀的瓶颈所在，然后针对瓶颈进行了优化。相信通过老师的详细介绍，小伙伴们一定可以从中受益！,yijun zhang,https://www.imooc.com/video/11829
67,python遇见数据采集,https://www.imooc.com/learn/712, 2小时 5分,免费,简介：在这个时代，数据越来越重要，数据=金钱，已经成为定理。本课程让你初步掌握使用Python进行数据采集，以及如何从TXT和PDF文档中读取数据，掌握本课程，创造属于你的价值,秋名山车神,https://www.imooc.com/video/12622
68,Cocos2d-x坦克大战--上,https://www.imooc.com/learn/610, 1小时 8分,免费,简介：FC上的坦克大战相信大家都玩过~有逃学玩坦克的可以自己默默的扣一个1了~我们现在长大了，学习游戏开发了。有没有想过将小时候玩过的游戏复刻出来了？不为了彰显自己的技术，只为了小时候因为玩游戏而逃学挨过的打。由资深游戏开发者徐波老师为大家复刻的FC坦克大战吧,徐波老师,https://www.imooc.com/video/11232
69,Scala程序设计—基础篇,https://www.imooc.com/learn/613, 2小时13分,免费,简介：Scala语言具备面向对象和函数式两种编程范式，为程序设计带来了更大的灵活性和方便性。本门课程将简明扼要地介绍Scala的语言基础。完成本课程的学习后，同学们将对函数式编程有初步的认识，也能够编写简单的Scala代码。,辰方,https://www.imooc.com/video/11262
70,移动端Web组件-Dialog对话框,https://www.imooc.com/learn/709, 3小时15分,免费,简介：今天就给大家完整的讲解一个移动端dialog组件的开发全过程，抽丝剥茧，去分析一个Dialog组件的种种功能，通过组件化，参数可配置化的方式，给大家集成封装一个相对完美的Dialog对话框组件。,一只帅蚂蚁,https://www.imooc.com/video/12587
71,Linux智能DNS服务搭建之Bind服务,https://www.imooc.com/learn/634, 1小时 5分,免费,简介：《Linux系统下智能DNS服务搭建》系列课程分为三部，分别为Bind服务篇、Bind负载均衡篇和智能DNS篇。本门课程作为系列课程的第一部，首先介绍了DNS的原理和应用，然后自动动手搭建Bind服务，并进行测试，最后还介绍了DNS正向解析工具的使用。,Jeson,https://www.imooc.com/video/12638
72,使用SpringMVC+Spring+Hibernate开发人员信息管理功能,https://www.imooc.com/learn/479, 1小时38分,免费,简介：本课程通过人员信息管理功能的开发，来介绍在实际项目中广泛应用的SpringMVC、Spring和Hibernate三大框架的整合。主要内容包括：案例演示、整体设计和代码实现，通过案例的学习还可以体会项目的实现流程。,moocer,https://www.imooc.com/video/9338
73,浏览器开发者工具使用技巧,https://www.imooc.com/learn/759, 1小时 0分,免费,简介：我们在前端的开发和学习过程中，经常碰到一些奇怪的问题。很多新手的选择是一句一句的看代码，如果开发工具没有报错的代码，只能去问别人。本课程将教会你自我查找和解决问题的能力。,秋名山车神,https://www.imooc.com/video/13419
74,PHP中的HTTP协议,https://www.imooc.com/learn/758, 1小时26分,免费,简介：本次课程将带领大家学习PHP中的HTTP协议，掌握http交互请求，例如post、和get请求，并用代码方式实现常见的post、get请求，以及防盗链、反向Ajax等高级应用。,ghost Wu,https://www.imooc.com/video/13417
75,PHP进阶篇-日期时间函数,https://www.imooc.com/learn/698, 1小时25分,免费,简介：PHP中针对日期和时间的操作也是我们开发中很常用的功能，让我们一起看看PHP如何操作日期时间的吧~。,King,https://www.imooc.com/video/13543
76,长连接利器—网络框架解析之mina篇,https://www.imooc.com/learn/686,51分,免费,简介：通过对本课程的学习，我们要对apachemina框架有深入的了解，并能通过mina与服务器进行通信慕课网Android讨论群②170368200,qndroid,https://www.imooc.com/video/12199
77,带你实现别样的Android侧滑菜单,https://www.imooc.com/learn/740, 1小时 1分,免费,简介：引导学生进入侧滑菜单的学习，介绍常用菜单开源库SlidingMenu和安卓自带菜单DrawerLayout的实现慕课网Android讨论群②170368200,ALABO,https://www.imooc.com/video/13124
78,Ruby语言快速入门,https://www.imooc.com/learn/765, 1小时 0分,免费,"简介：Ruby的基础语法课,学习完本教程,可以让你了解入门知识，为Ruby开发打下基础",申思维,https://www.imooc.com/video/13570
79,TypeScript入门,https://www.imooc.com/learn/763, 1小时50分,免费,"简介：TypeScript是一种由微软开发的支持ES6标准的编程语言,它是Angular2的开发语言。它可以编译成纯JavaScript，可以在任何浏览器，任何计算机和任何操作系统上运行，并且是开源的。本课程介绍了TypeScript的基本概念、常用语法和高级特性。",JoJo,https://www.imooc.com/video/13515
80,PHP进阶篇-GD库图像处理,https://www.imooc.com/learn/701, 4小时 0分,免费,"简介：通过PHP核心函数库GD库的学习,可以掌握在PHP中操作图像的一种方式，掌握常见Web操作中对于图像的相关处理，像产生验证码、缩略图等操作。",King,https://www.imooc.com/video/13551
81,Linux 智能DNS,https://www.imooc.com/learn/768, 1小时 7分,免费,简介：本课程属于DNS学习课程中的进阶学习阶段，在之前的两部曲《Linux智能DNS之Bind服务》和《LinuxBind负载均衡》的基础内容之上，内容重点之一介绍智能DNS的作用、实现方法。内容重点之二，介绍DNS安全内容，讲解DNS常见攻击的实现原理，和有效预防手段。,Jeson,https://www.imooc.com/video/13601
82,Android网络框架-OkHttp使用,https://www.imooc.com/learn/764, 1小时37分,免费,简介：本门课程主要给大家讲解AndroidSDK6.0之后的网络请求的高级框架，其中包括Web端和服务器端的交互，常用的请求方式，请求图片，文件以及服务器搭建，session问题和常用框架的封装,hyman,https://www.imooc.com/video/13600
83,Java实现SSO单点登录,https://www.imooc.com/learn/633, 2小时20分,免费,简介：本课程首先以新浪为例介绍了单点登录SSO的实现场景，然后对实现SSO所用的核心技术和原理进行分析，最后通过案例演示了同域SSO和跨域SSO的实现。,purp_blue,https://www.imooc.com/video/12079
84,jQuery基础(五)一Ajax应用与常用插件,https://www.imooc.com/learn/762, 3小时20分,免费,简介：本课程介绍如何用jquery实现ajax应用，深入理解jQuery框架提供的各类API与函数的工作原理和自定义jQuery插件的各项技能。,陶老实,https://www.imooc.com/code/13468
85,PHP+AJAX实现表格实时编辑,https://www.imooc.com/learn/754, 1小时36分,免费,简介：php是目前最流行的网络编程语言，ajax是比较酷的一种交互技术，当两者结合在一起，就能轻松实现最好的用户体验。,SShaddow,https://www.imooc.com/video/13363
86,Android-实用的App换肤功能,https://www.imooc.com/learn/782, 2小时18分,免费,简介：默认的皮肤风格看腻了吗？想做一套属于自己的风格吗？那你来对地方了~本课程将从零开始带领大家完成替换手机默认皮肤的功能！,hyman,https://www.imooc.com/video/13881
87,带您完成神秘的涟漪按钮效果-入门篇,https://www.imooc.com/learn/741, 1小时25分,免费,简介：本课程介绍了涟漪效果的几种实现方式，并针对Drawable实现方式进行开发；同时介绍了自定义View的基本知识点，并介绍了颜色叠加的几种计算方法。涟漪很炫，原理很简单；课程本着主线拉动、扩展介绍Drawable以及自定义控件相关知识点的原则，让同学深入浅出的理解相关知识点。,Qiujuer,https://www.imooc.com/video/13132
